iter	Logloss
0	0.6584282528
1	0.6304602027
2	0.608135902
3	0.5901005502
4	0.5756907384
5	0.5636344723
6	0.5529724822
7	0.5453075001
8	0.5385345682
9	0.5313158195
10	0.5264453848
11	0.521087768
12	0.5166744228
13	0.5131640172
14	0.5092101956
15	0.5054353575
16	0.5032112006
17	0.499858865
18	0.4968894802
19	0.4939440761
20	0.4918694929
21	0.4898523259
22	0.4871438498
23	0.4850710854
24	0.4835549406
25	0.4819560002
26	0.4797728674
27	0.4783562896
28	0.4769624889
29	0.4757900327
30	0.4741684618
31	0.4731190259
32	0.4713025493
33	0.4699139662
34	0.468838129
35	0.4676746256
36	0.4668539026
37	0.4658443474
38	0.4650301372
39	0.4644754126
40	0.4637406671
41	0.4627464241
42	0.461823897
43	0.4612532768
44	0.4603156881
45	0.4594144094
46	0.458687121
47	0.4579662512
48	0.4573915699
49	0.456950624
50	0.4563037094
51	0.455925288
52	0.4555685104
53	0.4548313752
54	0.4542828349
55	0.4536511632
56	0.4528729093
57	0.4525123477
58	0.4520981396
59	0.4515306361
60	0.4507088369
61	0.4502596985
62	0.4498593451
63	0.449187084
64	0.4487758814
65	0.4484007863
66	0.4478107364
67	0.4473534224
68	0.4467694006
69	0.4462085339
70	0.4459365657
71	0.445462919
72	0.4447700879
73	0.4443913954
74	0.4441099339
75	0.4437787344
76	0.4433636274
77	0.4429696664
78	0.4426195449
79	0.4423062146
80	0.441905542
81	0.4416973028
82	0.4412822842
83	0.4410723345
84	0.4406959091
85	0.4403063859
86	0.4398143883
87	0.4395389612
88	0.43932446
89	0.4389448299
90	0.4386189846
91	0.4381762169
92	0.4379096326
93	0.43756358
94	0.4372758093
95	0.4370209734
96	0.4365330193
97	0.4359856031
98	0.4354830699
99	0.4349302343
100	0.434400143
101	0.4340139564
102	0.4337198305
103	0.4335122868
104	0.4332131383
105	0.4328463148
106	0.4325382971
107	0.432127427
108	0.4317855746
109	0.4314652687
110	0.4313102393
111	0.4310946594
112	0.4306321722
113	0.4303678567
114	0.4300577379
115	0.429720293
116	0.4295409447
117	0.4292298359
118	0.4290805149
119	0.4288643541
120	0.4287016041
121	0.428596535
122	0.4283515454
123	0.4282027794
124	0.4278361273
125	0.4274934397
126	0.4270895862
127	0.4268097021
128	0.4265767735
129	0.4261151642
130	0.4258657675
131	0.4256433935
132	0.4253047951
133	0.4250102894
134	0.4248854913
135	0.4246480596
136	0.4242400701
137	0.4239996622
138	0.4238342204
139	0.4232124895
140	0.422931755
141	0.4227372193
142	0.4225295478
143	0.4222689434
144	0.4220700617
145	0.4218129062
146	0.4215389033
147	0.4214372931
148	0.4210785223
149	0.4208061172
150	0.4205969654
151	0.4203527404
152	0.4201671463
153	0.4199042543
154	0.4196404089
155	0.4194212928
156	0.4191472694
157	0.4189631357
158	0.4187355414
159	0.4181573954
160	0.4179762914
161	0.4177379313
162	0.4175652398
163	0.4173127001
164	0.4171397955
165	0.4169039386
166	0.4166316024
167	0.4163166948
168	0.4159302446
169	0.4157684088
170	0.4154016123
171	0.4151850174
172	0.4148396913
173	0.4146635672
174	0.4144328541
175	0.4142438238
176	0.4140820209
177	0.4139281292
178	0.4137201293
179	0.4135307016
180	0.4131709807
181	0.4129940132
182	0.4127976481
183	0.4125469032
184	0.4123020795
185	0.4120856059
186	0.411850718
187	0.4116576491
188	0.4114165904
189	0.4113717481
190	0.4112178546
191	0.4109448821
192	0.4107103949
193	0.4103453637
194	0.4101615554
195	0.4099837189
196	0.4098258295
197	0.4095676064
198	0.4094039663
199	0.4091679428
200	0.4090215131
201	0.4089001355
202	0.4087307708
203	0.4085379263
204	0.4083203509
205	0.4081678799
206	0.4080573385
207	0.4079348534
208	0.4078127801
209	0.4076762192
210	0.4074062432
211	0.4072103769
212	0.4069948037
213	0.4068072472
214	0.4064858701
215	0.4061988877
216	0.4060104804
217	0.4058879745
218	0.405674486
219	0.4055105203
220	0.405381254
221	0.4051934403
222	0.4049741656
223	0.4048289422
224	0.4046875898
225	0.4044542864
226	0.404319398
227	0.4041956143
228	0.4039845631
229	0.4037848499
230	0.4036403752
231	0.4034489499
232	0.4032600645
233	0.4030916607
234	0.402891519
235	0.4026447724
236	0.4023133565
237	0.4020980926
238	0.4020238642
239	0.4018689781
240	0.4016598544
241	0.4014710285
242	0.4012150903
243	0.4010696709
244	0.4009829391
245	0.4009103228
246	0.4007577815
247	0.400591448
248	0.4004391133
249	0.4003060716
250	0.4001028843
251	0.3999863197
252	0.3998762819
253	0.3997076365
254	0.399614176
255	0.3994530041
256	0.3993249722
257	0.3992495261
258	0.399201826
259	0.3990230131
260	0.3989367984
261	0.3987865269
262	0.3986447831
263	0.3985798964
264	0.3983582294
265	0.3981750693
266	0.3979882321
267	0.3977767757
268	0.3975666253
269	0.3974762745
270	0.3973893219
271	0.3970711949
272	0.3969241882
273	0.396815878
274	0.396699752
275	0.3965875043
276	0.3964552902
277	0.3961827608
278	0.3960415776
279	0.3958576312
280	0.3957417917
281	0.3956055744
282	0.3954877574
283	0.3953490373
284	0.3952454319
285	0.3951241863
286	0.3949693432
287	0.3949004605
288	0.3947588895
289	0.3946306083
290	0.394517237
291	0.394349603
292	0.3942237867
293	0.394124626
294	0.3939920713
295	0.3938526107
296	0.3937138945
297	0.3935089163
298	0.3933934735
299	0.3931702747
300	0.3930479518
301	0.3929286996
302	0.3928315893
303	0.392708835
304	0.3925758244
305	0.3924775311
306	0.3924032745
307	0.3923162251
308	0.3921952667
309	0.3920587019
310	0.3919482488
311	0.3918185327
312	0.391725136
313	0.391611871
314	0.3915058311
315	0.3914109082
316	0.3912774269
317	0.391173041
318	0.3911244733
319	0.3910250998
320	0.3909476832
321	0.3907703781
322	0.3906292433
323	0.3905630896
324	0.3904269499
325	0.3903635445
326	0.3902492342
327	0.3901530387
328	0.3900589978
329	0.389926802
330	0.3897786947
331	0.3895592685
332	0.3894587676
333	0.3893614751
334	0.3892650613
335	0.3891491101
336	0.3889187117
337	0.3888171609
338	0.388717226
339	0.3885613079
340	0.3884523211
341	0.388284008
342	0.388080604
343	0.3879464232
344	0.3878418901
345	0.3877589953
346	0.387676629
347	0.3875532023
348	0.3874410234
349	0.3872553039
350	0.3872142497
351	0.3871017084
352	0.3870127987
353	0.3868790649
354	0.3867584335
355	0.3866092636
356	0.3865347533
357	0.386430885
358	0.3863407289
359	0.386239717
360	0.386139796
361	0.3860271248
362	0.3859841593
363	0.3858454636
364	0.3857479275
365	0.3856312325
366	0.3854544189
367	0.3853511867
368	0.3852128255
369	0.3850933877
370	0.3849564261
371	0.3848247941
372	0.3847333486
373	0.3846253811
374	0.3845729384
375	0.3844905433
376	0.3843657272
377	0.3842472591
378	0.3841445814
379	0.3840276456
380	0.3839107594
381	0.3838270722
382	0.3837102672
383	0.3836080693
384	0.3835387077
385	0.3834491385
386	0.3832116577
387	0.3831459684
388	0.3830194679
389	0.382909305
390	0.3828197435
391	0.3827093779
392	0.3825341617
393	0.3823826107
394	0.3823259076
395	0.3821566073
396	0.3820906535
397	0.3818915559
398	0.3817575928
399	0.3815852714
